"OptionSet","Exploit","Seconds","Filter","All","NoDispute","DisputeArises","LitigQuality","PFiles","DAnswers","Activity","Accident","WrongAttrib","PrecPower","PrecLevel","BCRatio","PrecPower1","PrecPower2","PrecPower3","PrecPower4","PrecPower5","PBargains1","DBargains1","POffer1","DOffer1","POfferMixedness1","DOfferMixedness1","Settles1","PBet1","DBet1","PBetMixedness1","DBetMixedness1","PAbandons1","DDefaults1","Trial","PWinPct","PWealth","DWealth","TotWealth","WealthLoss","PWelfare","DWelfare","TotExpense","False+","False-","False+-","False+^2","False-^2","PDSWelfareLoss","SWelfareLoss","OpportunityCost","HarmCost","TrulyLiableHarmCost","TrulyNotLiableHarmCost","Chips","Settles","ValIfSettled","PAbandons","DDefaults","BothReadyToGiveUp","TrulyLiable","PrimaryAction","MutualOptimism","PLiabilitySignal1","PLiabilitySignal2","PLiabilitySignal3","PLiabilitySignal4","PLiabilitySignal5","DLiabilitySignal1","DLiabilitySignal2","DLiabilitySignal3","DLiabilitySignal4","DLiabilitySignal5","P Files","D Answers","PDoesntFile","DDoesntAnswer","SettlesBR1","PAbandonsBR1","DDefaultsBR1","P Loses","P Wins"
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","All",1,0.999929,7.10044E-05,0.5,7.1004E-5,7.10043E-05,1,7.10044E-05,9.99939E-06,3,2.8001,0.865851,0.2,0.2,0.2,0.2,0.2,1,1,0.124749,0.100001,,,6.88078E-05,,,,,4.25592E-11,4.39521E-13,2.197E-6,0.49985,9.99993,9.99996,19.9999,0.000106216,9.99993,9.99996,7.21026E-06,6.9741E-6,6.3159E-7,7.60566E-6,7.0097E-07,3.69016E-07,8.90062E-05,9.62165E-05,2.80012E-05,6.1005E-05,9.57383E-07,6.00476E-05,0,6.88078E-5,0.0500004,4.25592E-11,4.39521E-13,8.51524E-18,0.0153346,0,0,0.199894,0.200106,0.2,0.200106,0.199894,0.199894,0.200106,0.2,0.200106,0.199894,7.10044E-5,7.10043E-05,0.999929,1.42066E-11,6.88078E-05,4.25592E-11,4.39521E-13,1.09858E-6,1.0979E-6
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","NoDispute",0.9999,1,0,0.500006,0,0,1,0,0,3.00003,2.80013,0.86585,0.199994,0.199997,0.2,0.200003,0.200005,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.80015E-05,10,9.99997,0,0,0,0,0,0,2.80015E-05,2.80015E-05,2.80015E-05,0,0,0,0,0,,0,0,0,,0,-2.44745E-07,0.199888,0.200103,0.2,0.200109,0.199899,0.199888,0.200103,0.2,0.200109,0.199899,0,0,1,0,0,0,0,0,0
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","DisputeArises",7.1E-5,0,1,0.421912,1,1,1,1,0.140828,2.60956,2.47938,0.884341,0.279696,0.241288,0.197683,0.152421,0.128911,1,1,0.124749,0.100001,,,0.969064,,,,,5.99388E-07,6.19006E-09,0.030935,0.49985,9.00541,9.89302,18.8984,1.10157,9.00541,9.89302,0.101547,0.0982203,0.008895,0.107115,0.00987221,0.00519709,0.859197,0.960744,2.47938E-05,0.859172,0.0134834,0.845689,0,0.969064,0.0500004,5.99388E-07,6.19006E-09,1.19926E-13,0.0153346,0,0.00344666,0.278867,0.241527,0.197535,0.153483,0.128588,0.280092,0.241494,0.19736,0.152479,0.128575,1,1,2.0008E-07,2.0008E-07,0.969064,5.99388E-07,6.19006E-09,0.015472,0.0154627
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PFiles",7.1E-5,0,1,0.421912,1,1,1,1,0.140828,2.60956,2.47938,0.884341,0.279696,0.241288,0.197683,0.152421,0.128911,1,1,0.124749,0.100001,,,0.969064,,,,,5.99388E-07,6.19006E-09,0.030935,0.49985,9.00541,9.89302,18.8984,1.10157,9.00541,9.89302,0.101547,0.0982203,0.008895,0.107115,0.00987221,0.00519708,0.859197,0.960744,2.47938E-05,0.859172,0.0134834,0.845689,0,0.969064,0.0500004,5.99388E-07,6.19006E-09,1.19926E-13,0.0153346,0,0.00344666,0.278867,0.241527,0.197535,0.153483,0.128588,0.280092,0.241494,0.19736,0.152479,0.128575,1,1,0,2.0008E-07,0.969064,5.99388E-07,6.19006E-09,0.015472,0.0154627
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","DAnswers",7.1E-5,0,1,0.421912,1,1,1,1,0.140828,2.60956,2.47938,0.884341,0.279696,0.241288,0.197683,0.152421,0.128911,1,1,0.124749,0.100001,,,0.969065,,,,,5.99388E-07,6.19006E-09,0.030935,0.49985,9.00541,9.89302,18.8984,1.10157,9.00541,9.89302,0.101547,0.0982202,0.008895,0.107115,0.00987216,0.00519708,0.859197,0.960744,2.47938E-05,0.859172,0.0134834,0.845689,0,0.969065,0.0500004,5.99388E-07,6.19006E-09,1.19926E-13,0.0153346,0,0.00344666,0.278867,0.241527,0.197535,0.153483,0.128588,0.280092,0.241494,0.19736,0.152479,0.128575,1,1,0,0,0.969065,5.99388E-07,6.19006E-09,0.015472,0.0154627
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","Litigated",7.1E-5,0,1,0.421912,1,1,1,1,0.140828,2.60956,2.47938,0.884341,0.279696,0.241288,0.197683,0.152421,0.128911,1,1,0.124749,0.100001,,,0.969065,,,,,5.99388E-07,6.19006E-09,0.030935,0.49985,9.00541,9.89302,18.8984,1.10157,9.00541,9.89302,0.101547,0.0982202,0.008895,0.107115,0.00987216,0.00519708,0.859197,0.960744,2.47938E-05,0.859172,0.0134834,0.845689,0,0.969065,0.0500004,5.99388E-07,6.19006E-09,1.19926E-13,0.0153346,0,0.00344666,0.278867,0.241527,0.197535,0.153483,0.128588,0.280092,0.241494,0.19736,0.152479,0.128575,1,1,0,0,0.969065,5.99388E-07,6.19006E-09,0.015472,0.0154627
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","Not Litigated",0.9999,1,2.84151E-11,0.500006,1.421E-11,0,1,2.84151E-11,4.00164E-12,3.00003,2.80013,0.86585,0.199994,0.199997,0.2,0.200003,0.200005,1,1,,,,,0,,,,,0,0,0,,10,9.99997,20,2.80015E-05,10,9.99997,3.55189E-13,6.995E-12,3.322E-13,7.3271E-12,3.49742E-12,2.77917E-13,2.80015E-05,2.80015E-05,2.80015E-05,2.44135E-11,3.83134E-13,2.4030399999999998E-11,0,0,,0,0,0,0.0153346,0,-2.44745E-07,0.199888,0.200103,0.2,0.200109,0.199899,0.199888,0.200103,0.2,0.200109,0.199899,1.4208E-11,0,1,1.42076E-11,0,0,0,0,0
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","Settles",6.9E-5,0,1,0.423511,1,1,1,1,0.141462,2.61756,2.499,0.879034,0.282182,0.237353,0.194218,0.153221,0.133026,1,1,0.100001,0.100001,,,1,,,,,0,0,0,,9,9.89997,18.9,1.10002,9,9.89997,0.1,0.0999968,3.2978E-5,0.10003,0.0099997,3.28009E-05,0.858563,0.958563,2.499E-05,0.858538,2.92663E-05,0.858509,0,1,0.0500004,0,0,0,3.32719E-05,0,-0.0287266,0.287769,0.236561,0.19321,0.149861,0.132598,0.276212,0.238596,0.195165,0.157347,0.13268,1,1,0,0,1,0,0,0,0
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","Tried",2.2E-6,0,1,0.371833,1,1,1,1,0.12097,2.35917,1.8645,1.05059,0.201814,0.364576,0.30624,0.12737,1.07041E-10,1,1,0.899998,0.1,,,0,,,,,0,0,1,0.49985,9.17492,9.67506,18.85,1.15002,9.17492,9.67506,0.15,0.0425686,0.286508,0.329077,0.005877,0.166974,0.879048,1.02905,1.8645E-05,0.87903,0.43495,0.44408,0,0,,0,0,0,0.494665,0,1.01131,1.4435E-12,0.397067,0.333027,0.266935,0.00297031,0.401613,0.332273,0.266114,7.89280E-13,6.65545E-13,1,1,0,0,0,0,0,0.50015,0.49985
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PWins",1.1E-6,0,1,0.465814,1,1,1,1,0.120562,2.82907,1.84775,1.17117,0.00856518,0.404825,0.335583,0.251027,2.1281E-10,1,1,0.9,0.1,,,0,,,,,0,0,1,1,9.425,9.42498,18.85,1.15002,9.425,9.42498,0.15,0.0107407,0.564259,0.575,0.00617587,0.324449,0.879457,1.02946,1.84775E-05,0.879438,0.862922,0.0165161,0,0,,0,0,0,0.981321,0,1.02231,1.30638E-13,0.396702,0.34232,0.255199,0.00577941,0.405708,0.340833,0.253459,1.95843E-18,1.90729E-18,1,1,0,0,0,0,0,0,1
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","DWins",1.1E-6,0,1,0.277909,1,1,1,1,0.121379,1.88954,1.88124,0.930084,0.394948,0.32435,0.276914,0.00378827,1.33419E-12,1,1,0.899997,0.1,,,0,,,,,0,0,1,0,8.925,9.92498,18.85,1.15002,8.925,9.92498,0.15,0.0743774,0.0089238,0.0833012,0.00557831,0.00959305,0.87864,1.02864,1.88124E-05,0.878621,0.00723434,0.871387,0,0,,0,0,0,0.00830118,0,1.00032,2.75557E-12,0.397433,0.32374,0.278664,0.000162907,0.39752,0.323719,0.278761,1.57808E-12,1.33069E-12,1,1,0,0,0,0,0,1,0
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","Abandoned",4E-11,0,1,0.458913,1,1,1,1,0.148454,2.79456,2.63769,0.857756,0.36345,0.0168005,0.251853,0.197531,0.170366,1,1,0.603067,0.1,,,0,,,,,0.989778,0.0102217,0,,8.95511,9.94486,18.9,1.10003,8.95511,9.94486,0.1,0.0523282,0.0028128,0.0551409,0.00403678,0.00156281,0.851572,0.951572,2.63769E-05,0.851546,0.00447271,0.847073,0,0,,0.989778,0.0102217,1.98035E-07,0.00508681,0,-0.0264538,0.368545,0.0161042,0.250847,0.194655,0.169849,0.357849,0.0180474,0.252668,0.201513,0.169922,1,1,0,0,0,0.989778,0.0102217,0,0
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PrecPower1",0.2,0.999901,9.92983E-05,0.1,9.9298E-5,9.92983E-05,1,9.92983E-05,1.00021E-05,1,1.02328,0.9322,1,0,0,0,0,1,1,0.117857,0.100001,,,9.70818E-05,,,,,7.76958E-11,4.43489E-13,2.216E-6,0.021214,9.9999,9.99998,19.9999,0.000119572,9.9999,9.99998,1.00406E-05,9.8979E-6,1.323E-11,9.89795E-6,9.98575E-07,7.93825E-12,9.95292E-05,0.00010957,1.0233E-05,8.92962E-05,2.00463E-11,8.92962E-05,0,9.70818E-5,0.0500002,7.76958E-11,4.43489E-13,1.55454E-17,2.22065E-07,0,0.0444485,0.933812,0.0646597,0.00151615,1.20415E-05,1.57247E-12,0.97672,0.0232796,1.01309E-09,0,0,9.92983E-5,9.92983E-05,0.999901,1.98676E-11,9.70818E-05,7.76958E-11,4.43489E-13,2.16941E-6,4.7019E-8
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PrecPower2",0.2,0.999914,8.56626E-05,0.3,8.5663E-5,8.56626E-05,1,8.56626E-05,9.99495E-06,2,2,0.957849,0,1,0,0,0,1,1,0.137393,0.100001,,,8.16586E-05,,,,,2.81085E-12,8.01145E-13,4.004E-6,0.555033,9.99992,9.99997,19.9999,0.000114429,9.99992,9.99997,8.76646E-06,8.3223E-6,1.2727E-6,9.59503E-6,8.40439E-07,7.41093E-07,9.56679E-05,0.000104434,2.00002E-05,7.56677E-05,1.97412E-06,7.36936E-05,0,8.16586E-5,0.0500003,2.81085E-12,8.01145E-13,5.62398E-19,0.0256619,0,0.00104781,0.0641419,0.872174,0.0621909,0.00148168,1.17739E-05,0.0227501,0.9545,0.0227499,9.90053E-10,0,8.56626E-5,8.56626E-05,0.999914,1.71394E-11,8.16586E-05,2.81085E-12,8.01145E-13,1.78163E-6,2.2223E-6
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PrecPower3",0.2,0.99993,7.01819E-05,0.5,7.0182E-5,7.01819E-05,1,7.01819E-05,1.00121E-05,3,3,0.879194,0,0,1,0,0,1,1,0.138339,0.100001,,,6.68186E-05,,,,,5.34737E-11,6.72976E-13,3.363E-6,0.547745,9.99993,9.99996,19.9999,0.000107368,9.99993,9.99996,7.18635E-06,6.8025E-6,1.0662E-6,7.86872E-6,6.8107E-07,6.20128E-07,9.01701E-05,9.73564E-05,3.00002E-05,6.01699E-05,1.62073E-06,5.85491E-05,0,6.68186E-5,0.0500004,5.34737E-11,6.72976E-13,1.0699E-17,0.0262561,0,7.81676E-07,0.00150466,0.0622025,0.872585,0.0622031,0.00150469,9.90033E-10,0.0227501,0.9545,0.0227499,9.90062E-10,7.01819E-5,7.01819E-05,0.99993,1.4042E-11,6.68186E-05,5.34737E-11,6.72976E-13,1.52106E-6,1.8422E-6
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PrecPower4",0.2,0.999946,5.41129E-05,0.7,5.4113E-5,5.41129E-05,1,5.41129E-05,9.9691E-06,4,3.97725,0.693125,0,0,0,1,0,1,1,0.120682,0.100001,,,5.2714E-05,,,,,4.2188E-11,2.7994E-13,1.399E-6,0.985124,9.99995,9.99995,19.9999,9.93668E-05,9.99995,9.99995,5.48123E-06,5.271E-06,8.1892E-7,6.08991E-6,5.27102E-07,4.83828E-07,8.39165E-05,8.93977E-05,3.97727E-05,4.41438E-05,1.19198E-06,4.29518E-05,0,5.2714E-05,0.0500006,4.2188E-11,2.7994E-13,8.44098E-18,0.0259284,0,-0.00104661,1.17739E-05,0.00148169,0.0621917,0.872171,0.0641436,0,9.9005E-10,0.02275,0.9545,0.0227499,5.41129E-5,5.41129E-05,0.999946,1.08269E-11,5.2714E-05,4.2188E-11,2.7994E-13,2.08086E-8,1.378E-06
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PrecPower5",0.2,0.999954,4.57661E-05,0.9,4.5766E-5,4.57661E-05,1,4.57661E-05,1.00188E-05,5,4,0.86689,0,0,0,0,1,1,1,0.100002,0.100002,,,4.57661E-05,,,,,3.66275E-11,5.61301E-17,1.18E-15,0.993766,9.99995,9.99996,19.9999,9.03429E-05,9.99995,9.99996,4.57661E-06,4.5766E-6,3.933E-11,4.57665E-6,4.57664E-07,2.36005E-11,7.57476E-05,8.03242E-05,4.00002E-05,3.57474E-05,5.75402E-11,3.57473E-05,0,4.57661E-5,0.0500007,3.66275E-11,5.61301E-17,7.32843E-18,1.43244E-06,0,-0.0444505,1.5725E-12,1.20418E-05,0.00151621,0.0646617,0.93381,0,0,1.01312E-09,0.0232798,0.97672,4.57661E-5,4.57661E-05,0.999954,9.15689E-12,4.57661E-05,3.66275E-11,5.61301E-17,7.3286E-18,1.168E-15
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PrecLevel0",4E-07,0.999945,5.49995E-05,0.5,5.4999E-5,5.49995E-05,0.5,5.49995E-05,4.9995E-06,3,0,1.71665,0.2,0.2,0.2,0.2,0.2,1,1,0.9,0.9,,,5.49994E-05,,,,,4.40348E-18,4.40172E-11,8.81E-18,1,9.99997,9.99947,19.9994,0.000560499,9.99997,9.99947,5.49995E-06,0,3.3E-05,3.29997E-5,0,1.97998E-05,0.00055,0.0005555,0.0005,5E-05,5E-05,0,0,5.49994E-5,0.45,4.40348E-18,4.40172E-11,8.80696E-18,1,0,0,0.199894,0.200106,0.2,0.200106,0.199894,0.199894,0.200106,0.2,0.200106,0.199894,5.49995E-5,5.49995E-05,0.999945,1.10043E-11,5.49994E-05,4.40348E-18,4.40172E-11,3.665E-33,8.807E-18
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PrecLevel1",0.1999,0.999901,9.94914E-05,0.104553,9.9491E-5,9.94914E-05,1,9.94914E-05,9.99911E-06,1.02276,1,0.943644,0.977237,0.0227623,2.01177E-07,2.00186E-07,2.00186E-07,1,1,0.135486,0.100001,,,9.50782E-05,,,,,7.6093E-11,8.83031E-13,4.413E-6,0.504947,9.9999,9.99998,19.9999,0.000119661,9.9999,9.99998,1.01698E-05,9.6973E-6,1.2734E-6,1.09707E-5,9.78514E-07,7.41497E-07,9.94923E-05,0.000109662,1E-05,8.94923E-05,1.9752E-06,8.75171E-05,0,9.50782E-5,0.0500004,7.6093E-11,8.83031E-13,1.52247E-17,0.0221071,0,0.0455119,0.955005,0.0444764,0.000518041,2.00337E-07,2.0008E-07,0.999999,2.00292E-07,2.00186E-07,2.00292E-07,2.0008E-07,9.94914E-5,9.94914E-05,0.999901,1.99062E-11,9.50782E-05,7.6093E-11,8.83031E-13,2.1847E-06,2.2284E-6
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PrecLevel2",0.2001,0.999914,8.56901E-05,0.299894,8.569E-05,8.56901E-05,1,8.56901E-05,9.99924E-06,1.99947,2,0.957991,0.0232675,0.953994,0.0227382,2.00964E-07,1.99974E-07,1,1,0.134051,0.100001,,,8.20428E-05,,,,,3.14822E-12,7.29782E-13,3.647E-6,0.512727,9.99991,9.99997,19.9999,0.000114441,9.99991,9.99997,8.75137E-06,8.3607E-6,1.0656E-6,9.42635E-6,8.44276E-07,6.19795E-07,9.56909E-05,0.000104442,2E-05,7.56909E-05,1.61986E-06,7.4071E-05,0,8.20428E-5,0.0500003,3.14822E-12,7.29782E-13,6.29898E-19,0.0214928,0,1.23266E-05,0.0444293,0.911646,0.043407,0.000517493,1.99913E-07,1.99868E-07,0.999999,1.99974E-07,2.0008E-07,1.99868E-07,8.56901E-5,8.56901E-05,0.999914,1.71449E-11,8.20428E-05,3.14822E-12,7.29782E-13,1.77722E-6,1.8701E-6
"Risk Neutral CM 0.25 Noise 0.25,0.25 DM 0.5","0","43","PrecLevel3",0.2,0.99993,7.00672E-05,0.5,7.0067E-5,7.00672E-05,1,7.00672E-05,9.9994E-06,3,3,0.880395,2.01093E-07,0.0227501,0.954499,0.0227502,2.01093E-07,1,1,0.13337,0.100001,,,6.71445E-05,,,,,5.37371E-11,5.84779E-13,2.923E-6,0.476079,9.99993,9.99996,19.9999,0.00010722,9.99993,9.99996,7.15285E-06,6.835E-06,8.189E-07,7.65391E-6,6.8432E-07,4.83812E-07,9.00678E-05,9.72206E-05,3E-05,6.00678E-05,1.19194E-06,5.88759E-05,0,6.71445E-5,0.0500002,5.37371E-11,5.84779E-13,1.07517E-17,0.0200238,0,0,0.000517767,0.04343,0.912104,0.04343,0.000517767,1.99974E-07,2.00186E-07,0.999999,2.00186E-07,1.99974E-07,7.00672E-5,7.00672E-05,0.99993,1.40190E-11,6.71445E-05,5.37371E-11,5.84779E-13,1.53121E-6,1.3914E-6
